CountyName,StateName,4/18/20
Autauga,AL,2
Baldwin,AL,2
Calhoun,AL,2
Chambers,AL,11
Dallas,AL,2
De Kalb,AL,2
Etowah,AL,7
Houston,AL,2
Jackson,AL,2
Jefferson,AL,25
Lauderdale,AL,4
Lee,AL,14
Macon,AL,2
Madison,AL,4
Marion,AL,5
Marshall,AL,4
Mobile,AL,25
Montgomery,AL,5
Randolph,AL,4
Shelby,AL,7
Tallapoosa,AL,11
Anchorage,AK,4
Apache,AZ,4
Coconino,AZ,29
Maricopa,AZ,70
Navajo,AZ,11
Pima,AZ,56
Pinal,AZ,6
Cleburne,AR,4
Crittenden,AR,4
Faulkner,AR,2
Jefferson,AR,6
Pulaski,AR,12
Van Buren,AR,2
Alameda,CA,41
Contra Costa,CA,19
Fresno,CA,7
Imperial,CA,3
Kern,CA,3
Los Angeles,CA,576
Madera,CA,2
Marin,CA,10
Merced,CA,3
Monterey,CA,3
Napa,CA,2
Orange,CA,32
Placer,CA,8
Riverside,CA,69
Sacramento,CA,33
San Benito,CA,2
San Bernardino,CA,57
San Diego,CA,70
San Francisco,CA,20
San Joaquin,CA,17
San Mateo,CA,28
Santa Barbara,CA,3
Santa Clara,CA,73
Santa Cruz,CA,2
Shasta,CA,3
Solano,CA,2
Sonoma,CA,2
Stanislaus,CA,4
Sutter,CA,2
Tulare,CA,17
Ventura,CA,13
Yolo,CA,8
Adams,CO,31
Alamosa,CO,2
Arapahoe,CO,58
Boulder,CO,15
Chaffee,CO,4
Denver,CO,66
Douglas,CO,15
Eagle,CO,6
El Paso,CO,49
Garfield,CO,2
Gunnison,CO,3
Jefferson,CO,35
Larimer,CO,10
Montezuma,CO,2
Montrose,CO,7
Morgan,CO,2
Pitkin,CO,2
Pueblo,CO,6
Teller,CO,2
Weld,CO,61
Fairfield,CT,432
Hartford,CT,289
Litchfield,CT,48
Middlesex,CT,37
New Haven,CT,241
New London,CT,10
Tolland,CT,24
Windham,CT,2
Kent,DE,10
New Castle,DE,32
Sussex,DE,25
Washington,DC,91
Baker,FL,3
Bay,FL,2
Bradford,FL,2
Brevard,FL,7
Broward,FL,115
Charlotte,FL,9
Citrus,FL,8
Clay,FL,9
Collier,FL,8
De Soto,FL,4
Duval,FL,15
Escambia,FL,8
Flagler,FL,2
Hernando,FL,3
Highlands,FL,6
Hillsborough,FL,19
Indian River,FL,2
Lake,FL,6
Lee,FL,25
Manatee,FL,31
Marion,FL,3
Martin,FL,4
Monroe,FL,3
Orange,FL,23
Osceola,FL,5
Palm Beach,FL,114
Pasco,FL,3
Pinellas,FL,16
Polk,FL,12
St Johns,FL,4
St Lucie,FL,13
Santa Rosa,FL,6
Sarasota,FL,23
Seminole,FL,4
Sumter,FL,11
Suwannee,FL,6
Volusia,FL,10
Baker,GA,2
Baldwin,GA,2
Barrow,GA,3
Bartow,GA,22
Brantley,GA,2
Brooks,GA,5
Bryan,GA,2
Burke,GA,2
Calhoun,GA,2
Carroll,GA,9
Chatham,GA,5
Cherokee,GA,8
Clarke,GA,13
Clay,GA,2
Clayton,GA,17
Cobb,GA,51
Coffee,GA,3
Colquitt,GA,5
Coweta,GA,3
Crisp,GA,2
De Kalb,GA,24
Dooly,GA,4
Dougherty,GA,91
Douglas,GA,6
Early,GA,8
Fayette,GA,5
Floyd,GA,8
Forsyth,GA,7
Fulton,GA,74
Gordon,GA,5
Gwinnett,GA,36
Habersham,GA,2
Hall,GA,6
Harris,GA,2
Henry,GA,7
Houston,GA,10
Lee,GA,15
Lowndes,GA,3
McDuffie,GA,2
Mitchell,GA,23
Muscogee,GA,4
Newton,GA,3
Oglethorpe,GA,2
Paulding,GA,5
Peach,GA,2
Pickens,GA,2
Pierce,GA,2
Randolph,GA,12
Richmond,GA,10
Rockdale,GA,6
Seminole,GA,2
Spalding,GA,7
Sumter,GA,14
Taylor,GA,2
Terrell,GA,14
Thomas,GA,13
Tift,GA,3
Toombs,GA,2
Troup,GA,4
Turner,GA,2
Upson,GA,8
Walton,GA,3
Ware,GA,5
Whitfield,GA,3
Worth,GA,5
Honolulu,HI,6
Maui,HI,3
Ada,ID,9
Blaine,ID,5
Canyon,ID,5
Jerome,ID,2
Nez Perce,ID,11
Twin Falls,ID,9
Boone,IL,2
Champaign,IL,4
Christian,IL,4
Cook,IL,860
Du Page,IL,82
Jackson,IL,4
Kane,IL,29
Kankakee,IL,12
Kendall,IL,3
Lake,IL,75
McHenry,IL,17
McLean,IL,3
Macon,IL,7
Madison,IL,5
Monroe,IL,7
Peoria,IL,2
Rock Island,IL,4
St Clair,IL,17
Sangamon,IL,3
Tazewell,IL,3
Whiteside,IL,3
Will,IL,94
Winnebago,IL,4
Allen,IN,16
Bartholomew,IN,6
Boone,IN,8
Clark,IN,11
Daviess,IN,2
Dearborn,IN,5
Decatur,IN,17
Delaware,IN,5
Elkhart,IN,3
Fayette,IN,4
Floyd,IN,7
Fountain,IN,2
Franklin,IN,7
Grant,IN,2
Greene,IN,3
Hamilton,IN,35
Hancock,IN,6
Harrison,IN,2
Hendricks,IN,17
Howard,IN,4
Johnson,IN,31
Lake,IN,43
La Porte,IN,5
Lawrence,IN,9
Madison,IN,30
Marion,IN,190
Monroe,IN,4
Morgan,IN,3
Newton,IN,4
Noble,IN,2
Orange,IN,4
Porter,IN,3
Putnam,IN,4
Ripley,IN,3
St Joseph,IN,8
Scott,IN,2
Shelby,IN,4
Tippecanoe,IN,2
Vigo,IN,4
Warrick,IN,4
Wayne,IN,2
Allamakee,IA,3
Appanoose,IA,2
Johnson,IA,3
Linn,IA,25
Louisa,IA,2
Muscatine,IA,3
Polk,IA,13
Scott,IA,3
Tama,IA,6
Washington,IA,5
Coffey,KS,6
Johnson,KS,25
Leavenworth,KS,2
Montgomery,KS,2
Saline,KS,2
Sedgwick,KS,3
Shawnee,KS,5
Wyandotte,KS,35
Adair,KY,3
Boone,KY,2
Boyd,KY,2
Bullitt,KY,2
Butler,KY,2
Campbell,KY,6
Christian,KY,3
Daviess,KY,3
Fayette,KY,7
Graves,KY,2
Hopkins,KY,9
Jackson,KY,2
Jefferson,KY,60
Kenton,KY,10
Laurel,KY,2
Lyon,KY,2
McCracken,KY,2
Muhlenberg,KY,2
Pulaski,KY,2
Russell,KY,2
Shelby,KY,2
Simpson,KY,2
Acadia,LA,7
Allen,LA,9
Ascension,LA,30
Avoyelles,LA,3
Beauregard,LA,2
Bienville,LA,9
Bossier,LA,11
Caddo,LA,68
Calcasieu,LA,18
Claiborne,LA,4
Concordia,LA,2
De Soto,LA,8
East Baton Rouge,LA,72
East Feliciana,LA,7
Franklin,LA,2
Iberia,LA,8
Iberville,LA,21
Jefferson,LA,275
Jefferson Davis,LA,5
Lafayette,LA,17
Lafourche,LA,22
Lincoln,LA,2
Livingston,LA,8
Morehouse,LA,2
Orleans,LA,324
Ouachita,LA,12
Plaquemines,LA,11
Pointe Coupee,LA,5
Rapides,LA,7
Red River,LA,3
St Bernard,LA,11
St Charles,LA,27
St James,LA,14
St John the Baptist,LA,53
St Landry,LA,20
St Martin,LA,12
St Mary,LA,11
St Tammany,LA,67
Tangipahoa,LA,18
Terrebonne,LA,21
Union,LA,5
Washington,LA,11
Webster,LA,4
West Baton Rouge,LA,10
Winn,LA,2
Cumberland,ME,14
Kennebec,ME,4
Waldo,ME,7
York,ME,6
Anne Arundel,MD,41
Baltimore,MD,45
Calvert,MD,2
Carroll,MD,28
Cecil,MD,3
Charles,MD,16
Frederick,MD,31
Harford,MD,5
Howard,MD,12
Montgomery,MD,86
Prince Georges,MD,95
Queen Annes,MD,2
St Marys,MD,4
Washington,MD,3
Baltimore City,MD,43
Barnstable,MA,20
Berkshire,MA,24
Bristol,MA,75
Essex,MA,178
Franklin,MA,25
Hampden,MA,181
Hampshire,MA,7
Middlesex,MA,294
Norfolk,MA,195
Plymouth,MA,105
Suffolk,MA,188
Worcester,MA,92
Bay,MI,2
Berrien,MI,8
Branch,MI,2
Calhoun,MI,5
Clinton,MI,6
Crawford,MI,2
Dickinson,MI,2
Eaton,MI,5
Emmet,MI,2
Genesee,MI,112
Grand Traverse,MI,4
Hillsdale,MI,11
Ingham,MI,6
Ionia,MI,2
Isabella,MI,7
Jackson,MI,9
Kalamazoo,MI,9
Kalkaska,MI,2
Kent,MI,23
Lapeer,MI,18
Livingston,MI,10
Macomb,MI,384
Marquette,MI,6
Midland,MI,2
Monroe,MI,10
Muskegon,MI,5
Oakland,MI,458
Otsego,MI,5
Ottawa,MI,5
Saginaw,MI,24
St Clair,MI,8
Sanilac,MI,3
Shiawassee,MI,2
Tuscola,MI,11
Van Buren,MI,2
Washtenaw,MI,29
Wayne,MI,1070
Anoka,MN,2
Clay,MN,2
Dakota,MN,5
Hennepin,MN,69
Martin,MN,4
Nicollet,MN,2
Olmsted,MN,2
Ramsey,MN,9
St Louis,MN,8
Washington,MN,3
Wilkin,MN,2
Winona,MN,8
Adams,MS,6
Bolivar,MS,5
Calhoun,MS,2
Chickasaw,MS,2
Clarke,MS,2
De Soto,MS,3
Forrest,MS,3
Hancock,MS,5
Harrison,MS,5
Hinds,MS,5
Holmes,MS,4
Humphreys,MS,3
Jackson,MS,6
Lafayette,MS,3
Lauderdale,MS,14
Lee,MS,4
Leflore,MS,6
Lincoln,MS,6
Madison,MS,3
Marshall,MS,2
Monroe,MS,4
Oktibbeha,MS,2
Panola,MS,2
Pearl River,MS,10
Pike,MS,2
Pontotoc,MS,2
Rankin,MS,2
Sunflower,MS,2
Tippah,MS,7
Washington,MS,3
Wilkinson,MS,4
Cass,MO,6
Dunklin,MO,2
Franklin,MO,7
Greene,MO,8
Jackson,MO,11
Jefferson,MO,4
St Charles,MO,18
St Louis,MO,80
St Louis City,MO,30
Toole,MT,4
Douglas,NE,5
Hall,NE,4
Madison,NE,2
Clark,NV,133
Washoe,NV,16
Hillsborough,NH,2
Atlantic,NJ,19
Bergen,NJ,741
Burlington,NJ,57
Camden,NJ,73
Cape May,NJ,14
Cumberland,NJ,4
Essex,NJ,732
Gloucester,NJ,23
Hudson,NJ,434
Hunterdon,NJ,17
Mercer,NJ,110
Middlesex,NJ,313
Monmouth,NJ,221
Morris,NJ,255
Ocean,NJ,212
Passaic,NJ,243
Salem,NJ,4
Somerset,NJ,146
Sussex,NJ,55
Union,NJ,356
Warren,NJ,39
Bernalillo,NM,23
Cibola,NM,2
McKinley,NM,5
Sandoval,NM,6
San Juan,NM,14
Albany,NY,20
Broome,NY,9
Chautauqua,NY,3
Clinton,NY,3
Columbia,NY,10
Delaware,NY,4
Dutchess,NY,26
Erie,NY,115
Genesee,NY,2
Herkimer,NY,3
Livingston,NY,3
Madison,NY,5
Monroe,NY,62
Nassau,NY,1109
New York,NY,13202
Niagara,NY,9
Oneida,NY,6
Onondaga,NY,17
Orange,NY,211
Oswego,NY,2
Otsego,NY,4
Putnam,NY,7
Rensselaer,NY,6
Rockland,NY,334
Saratoga,NY,7
Schenectady,NY,14
Steuben,NY,21
Suffolk,NY,693
Sullivan,NY,11
Ulster,NY,16
Washington,NY,2
Westchester,NY,668
Wyoming,NY,3
Brunswick,NC,2
Buncombe,NC,3
Burke,NC,5
Cabarrus,NC,4
Carteret,NC,2
Cleveland,NC,2
Columbus,NC,2
Craven,NC,2
Cumberland,NC,6
Davidson,NC,2
Davie,NC,2
Durham,NC,4
Forsyth,NC,5
Franklin,NC,7
Gaston,NC,3
Granville,NC,5
Guilford,NC,13
Harnett,NC,3
Henderson,NC,11
Iredell,NC,3
Johnston,NC,9
Mecklenburg,NC,24
Moore,NC,4
Orange,NC,3
Randolph,NC,2
Richmond,NC,2
Robeson,NC,2
Rockingham,NC,2
Rowan,NC,12
Rutherford,NC,2
Stanly,NC,2
Union,NC,3
Wake,NC,4
Washington,NC,2
Wayne,NC,4
Wilson,NC,4
Cass,ND,2
Morton,ND,2
Stark,ND,2
Allen,OH,11
Ashtabula,OH,4
Auglaize,OH,2
Belmont,OH,3
Butler,OH,2
Columbiana,OH,13
Cuyahoga,OH,52
Darke,OH,10
Delaware,OH,3
Fairfield,OH,2
Franklin,OH,27
Geauga,OH,4
Greene,OH,2
Hamilton,OH,30
Lake,OH,6
Licking,OH,4
Lorain,OH,16
Lucas,OH,31
Madison,OH,3
Mahoning,OH,45
Medina,OH,10
Miami,OH,22
Montgomery,OH,8
Pickaway,OH,4
Portage,OH,24
Sandusky,OH,2
Stark,OH,23
Summit,OH,20
Trumbull,OH,16
Warren,OH,8
Washington,OH,6
Wayne,OH,12
Wood,OH,9
Wyandot,OH,2
Adair,OK,3
Caddo,OK,2
Canadian,OK,3
Cleveland,OK,21
Creek,OK,3
Delaware,OK,2
Greer,OK,4
Kay,OK,4
Mayes,OK,3
Muskogee,OK,3
Oklahoma,OK,22
Osage,OK,8
Pawnee,OK,2
Pottawatomie,OK,3
Rogers,OK,2
Sequoyah,OK,2
Tulsa,OK,21
Wagoner,OK,7
Washington,OK,6
Benton,OR,4
Clackamas,OR,5
Linn,OR,6
Marion,OR,13
Multnomah,OR,28
Washington,OR,7
Yamhill,OR,6
Allegheny,PA,47
Armstrong,PA,2
Beaver,PA,31
Berks,PA,40
Bucks,PA,75
Butler,PA,5
Carbon,PA,8
Chester,PA,36
Columbia,PA,4
Cumberland,PA,4
Dauphin,PA,9
Delaware,PA,77
Fayette,PA,3
Indiana,PA,4
Lackawanna,PA,35
Lancaster,PA,36
Lawrence,PA,5
Lebanon,PA,4
Lehigh,PA,29
Luzerne,PA,32
Monroe,PA,34
Montgomery,PA,106
Northampton,PA,29
Philadelphia,PA,342
Pike,PA,8
Schuylkill,PA,5
Washington,PA,2
Wayne,PA,2
Westmoreland,PA,13
York,PA,4
Providence,RI,3
Aiken,SC,4
Anderson,SC,5
Beaufort,SC,6
Berkeley,SC,3
Charleston,SC,3
Clarendon,SC,6
Florence,SC,8
Georgetown,SC,2
Greenville,SC,11
Horry,SC,12
Kershaw,SC,8
Lancaster,SC,2
Lee,SC,5
Lexington,SC,9
Richland,SC,14
Spartanburg,SC,5
Sumter,SC,6
York,SC,3
Beadle,SD,2
Minnehaha,SD,3
Bedford,TN,2
Blount,TN,3
Davidson,TN,19
Greene,TN,2
Hamilton,TN,11
Hawkins,TN,2
Knox,TN,4
Macon,TN,3
Montgomery,TN,2
Putnam,TN,2
Rutherford,TN,6
Shelby,TN,33
Sumner,TN,29
Williamson,TN,5
Bell,TX,3
Bexar,TX,37
Brazoria,TX,3
Brazos,TX,16
Cameron,TX,5
Collin,TX,13
Comal,TX,6
Dallas,TX,60
Denton,TX,15
Ector,TX,4
Ellis,TX,3
El Paso,TX,7
Fort Bend,TX,17
Galveston,TX,14
Hale,TX,2
Hardin,TX,2
Harris,TX,71
Harrison,TX,4
Hidalgo,TX,3
Hood,TX,3
Hunt,TX,2
Jefferson,TX,9
Lubbock,TX,28
McLennan,TX,4
Matagorda,TX,3
Medina,TX,2
Midland,TX,3
Montgomery,TX,7
Nacogdoches,TX,6
Navarro,TX,2
Panola,TX,3
Potter,TX,2
Randall,TX,3
Smith,TX,2
Tarrant,TX,38
Taylor,TX,2
Travis,TX,21
Washington,TX,4
Webb,TX,11
Williamson,TX,4
Wise,TX,2
Davis,UT,2
Salt Lake,UT,13
San Juan,UT,2
Utah,UT,5
Addison,VT,2
Chittenden,VT,23
Franklin,VT,3
Lamoille,VT,2
Windham,VT,2
Windsor,VT,2
Arlington,VA,16
Fairfax,VA,37
Henrico,VA,62
James City,VA,2
Loudoun,VA,8
Alexandria City,VA,7
Chesapeake City,VA,4
Norfolk City,VA,2
Portsmouth City,VA,4
Richmond City,VA,10
Virginia Beach City,VA,6
Benton,WA,34
Chelan,WA,6
Clark,WA,16
Franklin,WA,4
Grant,WA,2
Island,WA,8
King,WA,331
Klickitat,WA,3
Lewis,WA,2
Pierce,WA,30
Skagit,WA,6
Snohomish,WA,91
Spokane,WA,17
Whatcom,WA,25
Yakima,WA,34
Monongalia,WV,2
Dane,WI,17
Fond du Lac,WI,3
Grant,WI,2
Kenosha,WI,5
Milwaukee,WI,122
Outagamie,WI,2
Ozaukee,WI,9
Racine,WI,8
Rock,WI,4
Sauk,WI,3
Sheboygan,WI,2
Walworth,WI,4
Washington,WI,3
Waukesha,WI,11
Broomfield,CO,2
Miami-Dade,FL,198
